n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
600,600,94,565,None,24.05854034423828125,24.07,None,
700,700,108,554,None,26.700075149536132812,26.71,None,
100,100,19,105,None,28.107618331909179688,28.14,None,
200,200,31,201,None,26.070095062255859375,26.08,None,
900,900,142,863,None,24.03122711181640625,24.04,None,
10,10,2,14,None,6.8139290809631347656,6.82,None,
5,5,1,8,None,3.9990479946136474609,4.01,None,
1000,1000,149,773,None,29.226488113403320312,29.24,None,
500,500,85,532,None,21.810312271118164062,21.82,None,
800,800,138,782,None,25.610595703125,25.62,None,
5,5,1,8,None,3.4928159713745117188,3.50,None,
7,3,2,300,None,4.8025598526000976562,4.80,None,
10,10,1,51,None,5.754985809326171875,5.76,None,
11,11,1,79,None,4.5222401618957519531,4.52,None,
12,12,1,54,None,4.2818708419799804688,4.28,None,
13,13,2,103,None,7.7642149925231933594,7.77,None,
14,14,1,55,None,6.2482619285583496094,6.25,None,
15,15,2,106,None,8.3750543594360351562,8.38,None,
16,16,2,130,None,9.06189727783203125,9.07,None,
17,17,2,105,None,10.280320167541503906,10.28,None,
18,18,2,121,None,13.653981208801269531,13.67,None,
19,19,2,106,None,8.7351827621459960938,8.75,None,
20,20,3,188,None,8.3837738037109375,8.39,None,
21,21,2,120,None,12.919714927673339844,12.93,None,
22,22,3,171,None,16.167577743530273438,16.17,None,
23,23,2,147,None,15.315022468566894531,15.32,None,
24,24,3,181,None,17.950580596923828125,17.96,None,
25,25,4,237,None,19.3340911865234375,19.34,None,
26,26,3,161,None,16.383813858032226562,16.39,None,
27,27,3,158,None,17.256107330322265625,17.26,None,
28,28,3,158,None,16.012266159057617188,16.02,None,
29,29,3,186,None,17.795400619506835938,17.80,None,
30,30,3,182,None,19.271160125732421875,19.28,None,
31,31,5,272,None,17.7939910888671875,17.80,None,
32,32,3,187,None,21.35924530029296875,21.37,None,
33,33,3,178,None,20.425867080688476562,20.43,None,
34,34,3,182,None,22.128192901611328125,22.14,None,
35,35,4,237,None,25.67340850830078125,25.69,None,
36,36,5,345,None,25.97275543212890625,25.98,None,
37,37,4,230,None,26.71497344970703125,26.74,None,
38,38,4,260,None,25.719301223754882812,25.73,None,
39,39,4,229,None,26.11519622802734375,26.13,None,
40,40,4,236,None,25.826620101928710938,25.84,None,
41,41,4,251,None,25.933368682861328125,25.94,None,
42,42,7,412,None,22.091863632202148438,22.10,None,
43,43,4,243,None,32.405467987060546875,32.41,None,
44,44,5,356,None,36.01062774658203125,36.03,None,
45,45,4,239,None,32.7129669189453125,32.72,None,
46,46,5,301,None,38.633045196533203125,38.65,None,
47,47,6,338,None,30.997312545776367188,31.02,None,
48,48,5,287,None,38.58911895751953125,38.62,None,
49,49,5,275,None,30.278951644897460938,30.29,None,
50,50,5,314,None,34.76657867431640625,34.78,None,
51,51,6,359,None,37.740543365478515625,37.76,None,
52,52,6,358,None,36.7605438232421875,36.78,None,
53,53,6,404,None,38.828094482421875,38.85,None,
54,54,5,278,None,49.293731689453125,49.34,None,
90,90,10,591,None,30.122196197509765625,30.13,None,
120,120,13,701,None,29.612688064575195312,29.62,None,
150,150,14,770,None,35.61661529541015625,35.62,None,
180,180,17,965,None,35.65154266357421875,35.66,None,
210,210,19,1098,None,43.242183685302734375,43.27,None,
240,240,20,1161,None,44.040660858154296875,44.06,None,
270,270,23,1243,None,36.187053680419921875,36.19,None,
300,300,30,1817,None,30.497503280639648438,30.51,None,
330,330,33,1942,None,37.885959625244140625,37.90,None,
360,360,34,2052,None,38.780120849609375,38.82,None,
550,550,48,2841,None,44.0807037353515625,44.11,None,
600,600,61,3633,None,36.238079071044921875,36.25,None,
650,650,64,3775,None,37.7336883544921875,37.75,None,
700,700,67,3835,None,38.25751495361328125,38.27,None,
750,750,69,4017,None,42.93994903564453125,42.96,None,
800,800,76,4489,None,45.994586944580078125,46.01,None,
850,850,76,4503,None,41.48319244384765625,41.50,None,
900,900,78,4625,None,44.5892181396484375,44.60,None,
950,950,89,5308,None,44.38858795166015625,44.42,None,
10000,10000,922,53952,None,182.3217620849609375,182.39,None,
1000,1000,94,5579,None,40.70679473876953125,40.73,None,
2000,2000,188,11217,None,51.5948638916015625,51.63,None,
3000,3000,273,16019,None,63.162830352783203125,63.19,None,
4000,4000,371,21701,None,129.3195343017578125,129.39,None,
5000,5000,465,27568,None,159.4947509765625,159.54,None,
6000,6000,556,32746,None,205.593170166015625,205.69,None,
7000,7000,653,38368,None,229.9287109375,230.05,None,
8000,8000,740,43364,None,276.09857177734375,276.24,None,
9000,9000,839,49632,None,305.45819091796875,305.57,None,
