n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,,,NO SOLUTION FOUND,,0.03,300,
7,3,,,NO SOLUTION FOUND,,0.03,300,
10,10,,,NO SOLUTION FOUND,,0.03,300,
11,11,,,NO SOLUTION FOUND,,0.02,300,
12,12,,,NO SOLUTION FOUND,,0.02,300,
13,13,,,NO SOLUTION FOUND,,0.02,300,
14,14,,,NO SOLUTION FOUND,,0.02,300,
15,15,,,NO SOLUTION FOUND,,0.02,300,
16,16,,,NO SOLUTION FOUND,,0.03,300,
17,17,,,NO SOLUTION FOUND,,0.04,300,
18,18,,,NO SOLUTION FOUND,,0.03,300,
19,19,,,NO SOLUTION FOUND,,0.02,300,
20,20,,,NO SOLUTION FOUND,,0.05,300,
21,21,,,NO SOLUTION FOUND,,0.03,300,
22,22,,,NO SOLUTION FOUND,,0.02,300,
23,23,,,NO SOLUTION FOUND,,0.05,300,
24,24,,,NO SOLUTION FOUND,,0.03,300,
25,25,,,NO SOLUTION FOUND,,0.05,300,
26,26,,,NO SOLUTION FOUND,,0.04,300,
27,27,,,NO SOLUTION FOUND,,0.02,300,
28,28,,,NO SOLUTION FOUND,,0.03,300,
29,29,,,NO SOLUTION FOUND,,0.02,300,
30,30,,,NO SOLUTION FOUND,,0.04,300,
31,31,,,NO SOLUTION FOUND,,0.06,300,
32,32,,,NO SOLUTION FOUND,,0.04,300,
33,33,,,NO SOLUTION FOUND,,0.05,300,
34,34,,,NO SOLUTION FOUND,,0.05,300,
35,35,,,NO SOLUTION FOUND,,0.05,300,
36,36,,,NO SOLUTION FOUND,,0.03,300,
37,37,,,NO SOLUTION FOUND,,0.03,300,
38,38,,,NO SOLUTION FOUND,,0.02,300,
39,39,,,NO SOLUTION FOUND,,0.02,300,
40,40,,,NO SOLUTION FOUND,,0.02,300,
41,41,,,NO SOLUTION FOUND,,0.02,300,
42,42,,,NO SOLUTION FOUND,,0.02,
