n_packs, n_bins, cost, real_running_time
7,3,250,0.29
10,10,51,0.34
11,11,79,0.35
12,12,54,0.37
13,13,103,0.44
14,14,50,0.57
15,15,106,0.84
16,16,113,1.23
17,17,105,178.95
18,18,118,300.41
19,19,106,4.77
20,20,171,2.91
21,21,108,8.55
22,22,156,300.49
23,23,116,300.7
24,24,158,300.56
25,25,204,300.58
26,26,158,300.6
27,27,158,300.69
28,28,158,300.67
29,29,167,300.72
30,30,181,300.76
31,31,215,300.79
32,32,171,300.8
33,33,165,300.88
34,34,165,300.9
35,35,213,300.94
36,36,299,300.98
37,37,163,301.02
38,38,252,301.1
39,39,229,301.14
40,40,263,301.21
41,41,225,301.24
42,42,367,301.36
43,43,237,301.4
44,44,304,301.44
45,45,220,301.56
46,46,272,301.62
47,47,322,301.67
48,48,269,301.73
49,49,273,301.83
50,50,293,301.9
51,51,328,302.02
52,52,330,302.06
53,53,382,302.2
54,54,260,302.25
90,90,585,308.15
120,120,769,317.44
150,150,1281,332.9
180,180,1810,364.01
210,210,2595,386.99
240,240,1861,435.12
270,270,,287.72
300,300,,282.07
330,330,,323.99
360,360,,425.31
550,550,,1007.21
600,600,,1003.65
