n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.00011700000322889536619,0.00,None,
7,3,2,300,None,0.00030000001424923539162,0.01,None,
10,10,1,51,None,0.00025199999799951910973,0.00,None,
11,11,1,79,None,0.00028000000747852027416,0.01,None,
12,12,1,54,None,0.00030399998649954795837,0.01,None,
13,13,2,145,None,0.00048200000310316681862,0.01,None,
14,14,1,55,None,0.00027200000477023422718,0.00,None,
15,15,2,106,None,0.00046199999633245170116,0.00,None,
16,16,2,130,None,0.00056399998720735311508,0.00,None,
17,17,2,105,None,0.00045399999362416565418,0.00,None,
18,18,2,121,None,0.00060999998822808265686,0.00,None,
19,19,2,129,None,0.00066100002732127904892,0.01,None,
20,20,3,188,None,0.00073099997825920581818,0.01,None,
21,21,2,120,None,0.00086700002430006861687,0.01,None,
22,22,3,171,None,0.00088399997912347316742,0.00,None,
23,23,2,147,None,0.00067699997453019022942,0.00,None,
24,24,3,181,None,0.0014979999978095293045,0.01,None,
25,25,4,237,None,0.0010989999864250421524,0.01,None,
26,26,3,161,None,0.0011149999918416142464,0.01,None,
27,27,3,180,None,0.0010989999864250421524,0.01,None,
28,28,3,158,None,0.0014250000240281224251,0.01,None,
29,29,3,186,None,0.0012809999752789735794,0.01,None,
30,30,3,182,None,0.00092500000027939677238,0.00,None,
31,31,4,215,None,0.0012009999481961131096,0.00,None,
32,32,3,187,None,0.0011559999547898769379,0.01,None,
33,33,3,178,None,0.0016250000335276126862,0.01,None,
34,34,3,182,None,0.001339999958872795105,0.01,None,
35,35,4,237,None,0.0015480000292882323265,0.01,None,
36,36,5,345,None,0.0013680000556632876396,0.01,None,
37,37,3,163,None,0.0015820000553503632545,0.01,None,
38,38,4,260,None,0.0015579999890178442001,0.01,None,
39,39,4,229,None,0.0020880000665783882141,0.01,None,
40,40,4,236,None,0.0016690000193193554878,0.01,None,
41,41,4,251,None,0.0016339999856427311897,0.00,None,
42,42,7,412,None,0.0015859999693930149078,0.01,None,
43,43,4,243,None,0.0020240000449120998383,0.01,None,
44,44,5,356,None,0.0015150000108405947685,0.01,None,
45,45,4,239,None,0.0018169999821111559868,0.02,None,
46,46,5,301,None,0.0020310000982135534286,0.01,None,
47,47,5,284,None,0.001655000029131770134,0.00,None,
48,48,5,287,None,0.0013279999839141964912,0.00,None,
49,49,5,275,None,0.0017480000387877225876,0.00,None,
50,50,5,314,None,0.0020550000481307506561,0.00,None,
51,51,5,291,None,0.0015310000162571668625,0.00,None,
52,52,6,358,None,0.0021279999054968357086,0.01,None,
53,53,6,404,None,0.0014420000370591878891,0.01,None,
54,54,5,278,None,0.0021869998890906572342,0.01,None,
90,90,10,591,None,0.0029750000685453414917,0.01,None,
120,120,13,701,None,0.0078290002420544624329,0.01,None,
150,150,14,770,None,0.0072929998859763145447,0.01,None,
180,180,17,965,None,0.012465000152587890625,0.02,None,
210,210,19,1098,None,0.016177000477910041809,0.02,None,
240,240,20,1161,None,0.018650999292731285095,0.03,None,
270,270,23,1243,None,0.016790999099612236023,0.02,None,
300,300,30,1817,None,0.023902999237179756165,0.03,None,
330,330,33,1942,None,0.017914999276399612427,0.02,None,
360,360,34,2052,None,0.021399000659584999084,0.03,None,
550,550,48,2841,None,0.04695399850606918335,0.05,None,
600,600,61,3633,None,0.068178996443748474121,0.07,None,
650,650,64,3775,None,0.054940000176429748535,0.06,None,
700,700,67,3835,None,0.070638999342918395996,0.07,None,
750,750,69,4017,None,0.077816002070903778076,0.08,None,
800,800,76,4489,None,0.076854996383190155029,0.08,None,
850,850,76,4503,None,0.074309997260570526123,0.08,None,
900,900,78,4625,None,0.13296200335025787354,0.14,None,
950,950,89,5308,None,0.11766300350427627563,0.12,None,
10000,10000,922,53952,None,7.7170958518981933594,7.73,None,
1000,1000,94,5579,None,0.16161799430847167969,0.17,None,
2000,2000,188,11217,None,0.39511001110076904297,0.40,None,
3000,3000,273,16019,None,0.94154500961303710938,0.95,None,
4000,4000,371,21701,None,1.3737510442733764648,1.38,None,
5000,5000,465,27568,None,2.0957949161529541016,2.10,None,
6000,6000,556,32746,None,2.80634307861328125,2.82,None,
7000,7000,653,38368,None,4.1562829017639160156,4.16,None,
8000,8000,740,43364,None,4.9853949546813964844,4.99,None,
9000,9000,839,49632,None,6.4081850051879882812,6.43,None,
