n_packs, n_bins, cost, real_running_time
600,600,565,0.04
700,700,554,0.05
100,100,105,0
200,200,201,0.01
900,900,863,0.08
10,10,14,0
5,5,8,0
1000,1000,773,0.1
500,500,532,0.03
800,800,782,0.07
5,5,8,0
7,3,300,0
10,10,51,0
11,11,79,0
12,12,54,0
13,13,145,0
14,14,55,0
15,15,106,0
16,16,130,0
17,17,105,0
18,18,121,0
19,19,129,0
20,20,188,0
21,21,120,0
22,22,171,0
23,23,147,0
24,24,181,0
25,25,237,0
26,26,161,0
27,27,180,0
28,28,158,0
29,29,186,0.01
30,30,182,0
31,31,215,0
32,32,187,0
33,33,178,0
34,34,182,0
35,35,237,0
36,36,345,0
37,37,163,0
38,38,260,0
39,39,229,0
40,40,236,0
41,41,251,0
42,42,412,0
43,43,243,0
44,44,356,0
45,45,239,0
46,46,301,0
47,47,284,0
48,48,287,0
49,49,275,0
50,50,314,0
51,51,291,0
52,52,358,0
53,53,404,0
54,54,278,0
90,90,591,0
120,120,701,0
150,150,770,0
180,180,965,0.01
210,210,1098,0.01
240,240,1161,0.01
270,270,1243,0.02
300,300,1817,0.01
330,330,1942,0.01
360,360,2052,0.02
550,550,2841,0.03
600,600,3633,0.04
650,650,3775,0.04
700,700,3835,0.04
750,750,4017,0.05
800,800,4489,0.06
850,850,4503,0.05
900,900,4625,0.06
950,950,5308,0.06
10000,10000,53952,4.83
1000,1000,5579,0.1
2000,2000,11217,0.22
3000,3000,16019,0.54
4000,4000,21701,0.81
5000,5000,27568,1.24
6000,6000,32746,1.76
7000,7000,38368,2.39
8000,8000,43364,3.09
9000,9000,49632,3.91
