n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,0.0001019999981508590281,0.00,None,
10,10,1,51,None,5.4000000091036781669e-05,0.00,None,
11,11,1,79,None,6.7000000854022800922e-05,0.00,None,
12,12,1,54,None,4.1999999666586518288e-05,0.00,None,
13,13,2,145,None,3.6000001273350790143e-05,0.00,None,
14,14,1,55,None,4.0999999328050762415e-05,0.00,None,
15,15,2,106,None,5.5000000429572537541e-05,0.00,None,
16,16,2,130,None,7.4000003223773092031e-05,0.00,None,
17,17,2,105,None,4.4000000343658030033e-05,0.00,None,
18,18,2,121,None,7.2000002546701580286e-05,0.00,None,
19,19,2,129,None,5.9000001783715561032e-05,0.00,None,
20,20,3,188,None,7.4000003223773092031e-05,0.00,None,
21,21,2,120,None,0.00011600000289035961032,0.00,None,
22,22,3,171,None,5.1999999413965269923e-05,0.00,None,
23,23,2,147,None,5.6000000768108293414e-05,0.00,None,
24,24,3,181,None,6.600000051548704505e-05,0.00,None,
25,25,4,237,None,6.3999999838415533304e-05,0.00,None,
26,26,3,161,None,7.5999996624886989594e-05,0.00,None,
27,27,3,180,None,8.3999999333173036575e-05,0.00,None,
28,28,3,158,None,6.8000001192558556795e-05,0.00,None,
29,29,3,186,None,9.0000001364387571812e-05,0.00,None,
30,30,3,182,None,7.0000001869630068541e-05,0.00,None,
31,31,4,215,None,7.3000002885237336159e-05,0.00,None,
32,32,3,187,None,8.0999998317565768957e-05,0.00,None,
33,33,3,178,None,7.6999996963422745466e-05,0.00,None,
34,34,3,182,None,7.8999997640494257212e-05,0.00,None,
35,35,4,237,None,8.9000001025851815939e-05,0.00,None,
36,36,5,345,None,8.4999999671708792448e-05,0.00,None,
37,37,3,163,None,9.6000003395602107048e-05,0.00,None,
38,38,4,260,None,8.9000001025851815939e-05,0.00,None,
39,39,4,229,None,8.6000000010244548321e-05,0.00,None,
40,40,4,236,None,9.799999679671600461e-05,0.00,None,
41,41,4,251,None,9.300000237999483943e-05,0.00,None,
42,42,7,412,None,0.0001019999981508590281,0.00,None,
43,43,4,243,None,0.00010800000018207356334,0.00,None,
44,44,5,356,None,0.00012599999899975955486,0.00,None,
45,45,4,239,None,0.0001289999927394092083,0.00,None,
46,46,5,301,None,0.00012300000526010990143,0.00,None,
47,47,5,284,None,0.00013400000170804560184,0.00,None,
48,48,5,287,None,0.00014099999680183827877,0.00,None,
49,49,5,275,None,0.00011800000356743112206,0.00,None,
50,50,5,314,None,0.00011899999663000926375,0.00,None,
51,51,5,291,None,0.00012500000593718141317,0.00,None,
52,52,6,358,None,0.00013800000306218862534,0.00,None,
53,53,6,404,None,0.0001209999973070807755,0.00,None,
54,54,5,278,None,0.00013299999409355223179,0.00,None,
90,90,10,591,None,0.00022699999681208282709,0.00,None,
120,120,13,701,None,0.00030399998649954795837,0.00,None,
150,150,14,770,None,0.00041000000783242285252,0.00,None,
180,180,17,965,None,0.0005910000181756913662,0.00,None,
210,210,19,1098,None,0.0006440000142902135849,0.00,None,
240,240,20,1161,None,0.0010349999647587537766,0.00,None,
270,270,23,1243,None,0.0013020000187680125237,0.00,None,
300,300,30,1817,None,0.0013079999480396509171,0.00,None,
330,330,33,1942,None,0.0012059999862685799599,0.00,None,
360,360,34,2052,None,0.0016289999475702643394,0.00,None,
550,550,48,2841,None,0.0029839999042451381683,0.00,None,
600,600,61,3633,None,0.0041109998710453510284,0.00,None,
650,650,64,3775,None,0.0047160000540316104889,0.00,None,
700,700,67,3835,None,0.0046000001020729541779,0.00,None,
750,750,69,4017,None,0.0059299999848008155823,0.00,None,
800,800,76,4489,None,0.0062009999528527259827,0.00,None,
850,850,76,4503,None,0.0068749999627470970154,0.01,None,
900,900,78,4625,None,0.0062210001051425933838,0.00,None,
950,950,89,5308,None,0.0070739998482167720795,0.01,None,
10000,10000,922,53952,None,0.62871897220611572266,0.63,None,
1000,1000,94,5579,None,0.0077789998613297939301,0.01,None,
2000,2000,188,11217,None,0.029475999996066093445,0.03,None,
3000,3000,273,16019,None,0.062291000038385391235,0.06,None,
4000,4000,371,21701,None,0.10545100271701812744,0.11,None,
5000,5000,465,27568,None,0.15548700094223022461,0.16,None,
6000,6000,556,32746,None,0.22917899489402770996,0.23,None,
7000,7000,653,38368,None,0.28970199823379516602,0.29,None,
8000,8000,740,43364,None,0.37867599725723266602,0.38,None,
9000,9000,839,49632,None,0.4431400001049041748,0.45,None,
