n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,2.5882980823516845703,2.60,None,
7,3,2,300,None,3.4888679981231689453,3.49,None,
10,10,1,51,None,3.6763970851898193359,3.68,None,
11,11,1,79,None,2.9641630649566650391,2.96,None,
12,12,1,54,None,2.8739991188049316406,2.87,None,
13,13,2,145,None,4.0782761573791503906,4.08,None,
14,14,1,55,None,4.0590791702270507812,4.06,None,
15,15,2,106,None,5.1191768646240234375,5.12,None,
16,16,2,130,None,6.0326700210571289062,6.03,None,
17,17,2,105,None,6.1369910240173339844,6.14,None,
18,18,2,121,None,5.8809947967529296875,5.88,None,
19,19,2,129,None,6.4001231193542480469,6.40,None,
20,20,3,188,None,6.8056168556213378906,6.81,None,
21,21,2,120,None,6.58841705322265625,6.59,None,
22,22,3,171,None,7.8490238189697265625,7.85,None,
23,23,2,147,None,8.4708995819091796875,8.47,None,
24,24,3,181,None,8.0782632827758789062,8.08,None,
25,25,4,237,None,8.6183452606201171875,8.62,None,
26,26,3,161,None,7.9816560745239257812,7.98,None,
27,27,3,180,None,8.182048797607421875,8.18,None,
28,28,3,158,None,8.562709808349609375,8.56,None,
29,29,3,186,None,9.8207406997680664062,9.82,None,
30,30,3,182,None,10.740714073181152344,10.75,None,
31,31,4,215,None,12.018184661865234375,12.04,None,
32,32,3,187,None,9.9690008163452148438,9.98,None,
33,33,3,178,None,10.927602767944335938,10.93,None,
34,34,3,182,None,11.157677650451660156,11.16,None,
35,35,4,237,None,11.102411270141601562,11.10,None,
36,36,5,345,None,12.201050758361816406,12.20,None,
37,37,3,163,None,11.606996536254882812,11.61,None,
38,38,4,260,None,12.882393836975097656,12.88,None,
39,39,4,229,None,12.476770401000976562,12.48,None,
40,40,4,236,None,12.343388557434082031,12.34,None,
41,41,4,251,None,13.835579872131347656,13.84,None,
42,42,7,412,None,10.443890571594238281,10.44,None,
43,43,4,243,None,14.890446662902832031,14.89,None,
44,44,5,356,None,14.735748291015625,14.74,None,
45,45,4,239,None,13.882442474365234375,13.88,None,
46,46,5,301,None,15.690435409545898438,15.69,None,
47,47,5,284,None,17.087345123291015625,17.09,None,
48,48,5,287,None,15.734958648681640625,15.74,None,
49,49,5,275,None,17.5229034423828125,17.52,None,
50,50,5,314,None,16.827032089233398438,16.83,None,
51,51,5,291,None,16.616697311401367188,16.62,None,
52,52,6,358,None,15.494683265686035156,15.50,None,
53,53,6,404,None,14.400554656982421875,14.40,None,
54,54,5,278,None,18.20281219482421875,18.20,None,
90,90,10,591,None,14.397389411926269531,14.40,None,
120,120,13,701,None,16.155824661254882812,16.16,None,
150,150,14,770,None,17.731012344360351562,17.73,None,
180,180,17,965,None,19.367071151733398438,19.37,None,
210,210,19,1098,None,17.973064422607421875,17.97,None,
240,240,20,1161,None,22.973222732543945312,22.98,None,
270,270,23,1243,None,24.782350540161132812,24.79,None,
300,300,30,1817,None,20.20477294921875,20.20,None,
330,330,33,1942,None,17.214731216430664062,17.22,None,
360,360,34,2052,None,17.6764373779296875,17.68,None,
550,550,48,2841,None,22.50847625732421875,22.51,None,
600,600,61,3633,None,20.271579742431640625,20.28,None,
650,650,64,3775,None,19.666318893432617188,19.67,None,
700,700,67,3835,None,20.739038467407226562,20.75,None,
750,750,69,4017,None,23.904165267944335938,24.51,None,
800,800,76,4489,None,23.562328338623046875,23.58,None,
850,850,76,4503,None,20.5686187744140625,20.58,None,
900,900,78,4625,None,28.086175918579101562,28.09,None,
950,950,89,5308,None,29.400127410888671875,29.43,None,
10000,10000,922,53952,None,87.45867919921875,87.53,None,
1000,1000,94,5579,None,25.717496871948242188,25.72,None,
2000,2000,188,11217,None,28.780668258666992188,28.77,None,
3000,3000,273,16019,None,44.945323944091796875,44.97,None,
4000,4000,371,21701,None,47.1822357177734375,47.19,None,
5000,5000,465,27568,None,57.822803497314453125,57.84,None,
6000,6000,556,32746,None,60.539478302001953125,60.57,None,
7000,7000,653,38368,None,72.09893798828125,72.15,None,
8000,8000,740,43364,None,75.69144439697265625,75.74,None,
9000,9000,839,49632,None,83.99334716796875,84.05,None,
