n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
600,600,94,565,None,21.554456710815429688,21.56,None,
700,700,108,554,None,19.145715713500976562,19.15,None,
100,100,19,105,None,13.850159645080566406,13.85,None,
200,200,31,201,None,15.99477386474609375,16.00,None,
900,900,142,863,None,22.478696823120117188,22.49,None,
10,10,2,14,None,4.8072562217712402344,4.81,None,
5,5,,,NO SOLUTION FOUND,,0.37,None,
1000,1000,,,NO SOLUTION FOUND,,0.15,None,
500,500,,,NO SOLUTION FOUND,,0.13,None,
800,800,,,NO SOLUTION FOUND,,0.11,None,
5,5,,,NO SOLUTION FOUND,,0.12,None,
7,3,,,NO SOLUTION FOUND,,0.13,None,
10,10,,,NO SOLUTION FOUND,,0.11,None,
11,11,,,NO SOLUTION FOUND,
