n_packs, n_bins, cost, real_running_time
600,600,565,14.97
700,700,554,14.71
100,100,105,10.38
200,200,201,12.67
900,900,863,15.94
10,10,14,3.52
5,5,8,2.38
1000,1000,773,17.01
500,500,532,13.02
800,800,782,14.61
5,5,8,2.53
7,3,300,3.57
10,10,51,4.4
11,11,79,3.31
12,12,54,3.43
13,13,145,4.4
14,14,55,4.38
15,15,106,6.25
16,16,130,6.72
17,17,105,7.15
18,18,121,6.48
19,19,129,6.96
20,20,188,7.24
21,21,120,7.22
22,22,171,9.97
23,23,147,9.47
24,24,181,9.08
25,25,237,9.71
26,26,161,8.93
27,27,180,9.34
28,28,158,9.72
29,29,186,10.71
30,30,182,10.51
31,31,215,11.4
32,32,187,10.62
33,33,178,11.95
34,34,182,12.43
35,35,237,12.45
36,36,345,13.84
37,37,163,13.18
38,38,260,13.73
39,39,229,14.59
40,40,236,13.66
41,41,251,15.82
42,42,412,11.99
43,43,243,16.99
44,44,356,17.23
45,45,239,15.09
46,46,301,17.5
47,47,284,19.82
48,48,287,18.68
49,49,275,20.21
50,50,314,19.1
51,51,291,18.61
52,52,358,18.04
53,53,404,17.06
54,54,278,20.29
90,90,591,16.59
120,120,701,18.27
150,150,770,21.62
180,180,965,20.31
210,210,1098,20.06
240,240,1161,25.12
270,270,1243,24.82
300,300,1817,21.67
330,330,1942,19.29
360,360,2052,18.96
550,550,2841,24.19
600,600,3633,22.79
650,650,3775,21.94
700,700,3835,22.95
750,750,4017,25.96
800,800,4489,25.5
850,850,4503,22.75
900,900,4625,28.13
950,950,5308,26.99
10000,10000,53952,92.14
1000,1000,5579,27.8
2000,2000,11217,31.45
3000,3000,16019,42.38
4000,4000,21701,46.17
5000,5000,27568,55.35
6000,6000,32746,60.89
7000,7000,38368,70.87
8000,8000,43364,77.15
9000,9000,49632,84.97
