n_packs, n_bins, cost, real_running_time
7,3,250,3.73
10,10,51,2.8
11,11,79,13.13
12,12,54,7.78
13,13,103,300.46
14,14,50,26.81
15,15,106,300.69
16,16,113,300.78
17,17,105,300.89
18,18,121,301.07
19,19,106,301.23
20,20,466,301.32
21,21,210,301.56
22,22,623,301.68
23,23,1108,301.89
24,24,356,302.16
25,25,1601,302.38
26,26,622,302.81
27,27,,303.25
28,28,1190,305.34
29,29,1415,305.3
30,30,2144,304.58
31,31,2249,304.93
32,32,1224,308.28
33,33,1429,307.36
34,34,803,309.19
35,35,1723,315.65
36,36,2795,309.29
37,37,1750,308.06
38,38,1193,308.5
39,39,2895,308.38
40,40,2964,325.63
41,41,1304,312.61
42,42,3115,329.33
43,43,3178,312.26
44,44,2030,321.26
45,45,,314.07
46,46,,315.45
47,47,,313.45
48,48,,315.92
49,49,,318.34
50,50,,319.56
51,51,,319.69
52,52,,321.17
53,53,,322.19
54,54,,323.78
90,90,,135.25
120,120,,193.29
150,150,,361
180,180,,610.13
210,210,,841.46
240,240,,833.25
270,270,,846.43
300,300,,831.76
330,330,,826.75
360,360,,840.04
550,550,,846.55
600,600,,843.04
