n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.18923699855804443359,0.19,None,
7,3,2,300,None,0.16312800347805023193,0.16,None,
10,10,1,51,None,0.55525302886962890625,0.55,None,
11,11,1,79,None,0.62731301784515380859,0.62,None,
12,12,1,54,None,0.66870099306106567383,0.67,None,
13,13,2,103,None,0.70519202947616577148,0.70,None,
14,14,1,55,None,0.95756602287292480469,0.96,None,
15,15,2,106,None,0.93994599580764770508,0.94,None,
16,16,2,113,None,0.98859101533889770508,0.99,None,
17,17,2,105,None,1.0208050012588500977,1.02,None,
18,18,2,119,None,1.103422999382019043,1.10,None,
19,19,2,127,None,1.1445080041885375977,1.14,None,
20,20,3,171,None,1.2120850086212158203,1.21,None,
21,21,2,120,None,1.4180070161819458008,1.43,None,
22,22,3,161,None,1.359907984733581543,1.36,None,
23,23,2,147,None,1.4449700117111206055,1.44,None,
24,24,3,168,None,1.495059967041015625,1.49,None,
25,25,4,237,None,1.5138820409774780273,1.51,None,
26,26,3,158,None,1.6403529644012451172,1.64,None,
27,27,3,172,None,1.6934200525283813477,1.69,None,
28,28,3,158,None,1.8695759773254394531,1.87,None,
29,29,3,186,None,2.0112900733947753906,2.01,None,
30,30,3,182,None,1.7832969427108764648,1.78,None,
31,31,4,215,None,1.9111069440841674805,1.91,None,
32,32,3,187,None,1.8819739818572998047,1.88,None,
33,33,3,168,None,1.9313509464263916016,1.93,None,
34,34,3,182,None,2.0055510997772216797,2.01,None,
35,35,4,220,None,2.1684830188751220703,2.17,None,
36,36,5,345,None,2.1642169952392578125,2.16,None,
37,37,4,215,None,2.4328858852386474609,2.43,None,
38,38,4,260,None,2.2648160457611083984,2.26,None,
39,39,4,229,None,2.2523379325866699219,2.25,None,
40,40,4,236,None,2.3421471118927001953,2.34,None,
41,41,4,228,None,2.4169900417327880859,2.41,None,
42,42,7,404,None,2.4582979679107666016,2.46,None,
43,43,4,243,None,2.4386761188507080078,2.44,None,
44,44,5,307,None,2.7347540855407714844,2.74,None,
45,45,4,224,None,2.6762080192565917969,2.68,None,
46,46,5,301,None,2.6139850616455078125,2.61,None,
47,47,6,317,None,2.8021390438079833984,2.80,None,
48,48,5,269,None,3.1405029296875,3.14,None,
49,49,5,275,None,3.2223420143127441406,3.22,None,
50,50,5,314,None,3.6919789314270019531,3.69,None,
51,51,6,328,None,3.5216870307922363281,3.52,None,
52,52,6,332,None,3.5823490619659423828,3.58,None,
53,53,6,389,None,4.0984358787536621094,4.10,None,
54,54,5,265,None,4.5684461593627929688,4.57,None,
90,90,10,591,None,6.0726008415222167969,6.07,None,
120,120,13,693,None,8.2624540328979492188,8.27,None,
150,150,14,768,None,9.7989015579223632812,9.80,None,
180,180,17,951,None,12.242842674255371094,12.24,None,
210,210,19,1098,None,14.127393722534179688,14.13,None,
240,240,20,1161,None,17.698734283447265625,17.70,None,
270,270,23,1243,None,18.900775909423828125,18.90,None,
300,300,30,1817,None,20.405376434326171875,20.40,None,
330,330,34,1942,None,22.208723068237304688,22.23,None,
360,360,34,2009,None,25.019582748413085938,25.04,None,
550,550,48,2841,None,46.177928924560546875,46.27,None,
600,600,61,3633,None,43.312404632568359375,43.37,None,
650,650,64,3775,None,43.7505950927734375,43.77,None,
700,700,67,3835,None,47.509185791015625,47.51,None,
750,750,69,4017,None,51.937931060791015625,51.94,None,
800,800,77,4462,None,64.77246856689453125,64.84,None,
850,850,76,4462,None,71.77074432373046875,71.90,None,
900,900,78,4625,None,80.979888916015625,81.18,None,
950,950,89,5308,None,85.5767364501953125,85.67,None,
10000,10000,,,NO SOLUTION FOUND,,0.24,None,
1000,1000,94,5579,None,93.2871551513671875,93.50,None,
2000,2000,,,NO SOLUTION FOUND,,0.47,None,
3000,3000,,,NO SOLUTION FOUND,,0.53,None,
4000,4000,,,NO SOLUTION FOUND,,0.15,None,
5000,5000,,,NO SOLUTION FOUND,,0.17,None,
6000,6000,,,NO SOLUTION FOUND,,0.14,None,
7000,7000,,,NO SOLUTION FOUND,,0.18,None,
8000,8000,,,NO SOLUTION FOUND,,0.15,None,
9000,9000,,,NO SOLUTION FOUND,,0.14,None,
