n_packs, n_bins, cost, real_running_time
600,600,565,42.19
700,700,554,52.5
100,100,104,6.84
200,200,201,13.16
900,900,863,70.48
10,10,14,0.82
5,5,8,0.28
1000,1000,773,74.44
500,500,532,35.18
800,800,782,64.5
5,5,8,0.27
7,3,300,0.25
10,10,51,0.94
11,11,79,1.02
12,12,54,1.31
13,13,103,1.2
14,14,55,1.28
15,15,106,1.35
16,16,113,1.36
17,17,105,1.44
18,18,119,1.63
19,19,127,1.45
20,20,171,1.49
21,21,120,1.93
22,22,161,2.11
23,23,147,2.03
24,24,168,1.94
25,25,237,1.79
26,26,158,1.99
27,27,172,2.31
28,28,158,2.25
29,29,186,2.19
30,30,182,2.26
31,31,215,2.31
32,32,187,2.37
33,33,168,2.42
34,34,182,2.45
35,35,220,2.59
36,36,345,2.64
37,37,215,2.53
38,38,260,2.55
39,39,229,2.54
40,40,236,2.53
41,41,228,2.78
42,42,404,2.73
43,43,243,2.77
44,44,307,2.85
45,45,224,2.96
46,46,301,3.04
47,47,317,3.15
48,48,269,3.13
49,49,275,3.2
50,50,314,3.28
51,51,328,3.38
52,52,332,3.4
53,53,389,3.5
54,54,265,3.58
90,90,591,5.91
120,120,693,8.02
150,150,768,9.66
180,180,951,11.82
210,210,1098,13.85
240,240,1161,15.8
270,270,1243,19.52
300,300,1817,21.88
330,330,1942,24.28
360,360,2009,31.75
550,550,2841,42.31
600,600,3633,44.94
650,650,3775,51.22
700,700,3835,54.55
750,750,4017,51.72
800,800,4462,58.69
850,850,4462,63.57
900,900,4625,71.86
950,950,5308,87.66
10000,10000,,0.39
1000,1000,5579,81.64
2000,2000,,0.31
3000,3000,,0.45
4000,4000,,0.14
5000,5000,,0.14
6000,6000,,0.14
7000,7000,,0.15
8000,8000,,0.15
9000,9000,,0.16
