n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,2.8268029689788818359,2.83,None,
7,3,2,300,None,4.3288450241088867188,4.33,None,
10,10,1,51,None,5.2065582275390625,5.21,None,
11,11,1,79,None,3.9010639190673828125,3.90,None,
12,12,1,54,None,4.0541682243347167969,4.06,None,
13,13,2,145,None,6.8343219757080078125,6.85,None,
14,14,1,55,None,5.2612709999084472656,5.26,None,
15,15,2,106,None,6.7186121940612792969,6.72,None,
16,16,2,130,None,7.1917161941528320312,7.20,None,
17,17,2,105,None,7.8913660049438476562,7.90,None,
18,18,2,121,None,7.9853911399841308594,7.99,None,
19,19,2,129,None,8.076396942138671875,8.08,None,
20,20,3,188,None,8.4425725936889648438,8.44,None,
21,21,2,120,None,10.307476997375488281,10.34,None,
22,22,3,171,None,9.3054952621459960938,9.31,None,
23,23,2,147,None,9.8019390106201171875,9.81,None,
24,24,3,181,None,11.284848213195800781,11.30,None,
25,25,4,237,None,11.013096809387207031,11.02,None,
26,26,3,161,None,9.8232364654541015625,9.83,None,
27,27,3,180,None,11.847019195556640625,11.86,None,
28,28,3,158,None,10.869388580322265625,10.87,None,
29,29,3,186,None,14.086455345153808594,14.10,None,
30,30,3,182,None,14.62575531005859375,14.73,None,
31,31,4,215,None,15.954586982727050781,15.96,None,
32,32,3,187,None,14.774913787841796875,14.83,None,
33,33,3,178,None,14.18158721923828125,14.18,None,
34,34,3,182,None,14.136165618896484375,14.14,None,
35,35,4,237,None,16.766859054565429688,16.77,None,
36,36,5,345,None,15.976680755615234375,15.98,None,
37,37,3,163,None,15.061611175537109375,15.07,None,
38,38,4,260,None,15.666941642761230469,15.67,None,
39,39,4,229,None,15.682496070861816406,15.68,None,
40,40,4,236,None,13.269262313842773438,13.28,None,
41,41,4,251,None,20.518838882446289062,20.56,None,
42,42,7,412,None,13.742400169372558594,13.74,None,
43,43,4,243,None,16.978342056274414062,17.01,None,
44,44,5,356,None,20.126819610595703125,20.13,None,
45,45,4,239,None,20.934003829956054688,20.96,None,
46,46,5,301,None,23.786800384521484375,23.79,None,
47,47,5,284,None,23.8156280517578125,23.82,None,
48,48,5,287,None,26.612863540649414062,26.67,None,
49,49,5,275,None,25.247547149658203125,25.32,None,
50,50,5,314,None,30.394292831420898438,30.45,None,
51,51,5,291,None,26.449451446533203125,26.47,None,
52,52,6,358,None,28.413656234741210938,28.52,None,
53,53,6,404,None,25.18094635009765625,25.20,None,
54,54,5,278,None,29.3216094970703125,29.33,None,
90,90,10,591,None,22.875286102294921875,22.90,None,
120,120,13,701,None,31.108343124389648438,31.21,None,
150,150,14,770,None,33.565052032470703125,33.62,None,
180,180,17,965,None,28.528043746948242188,28.53,None,
210,210,19,1098,None,31.286924362182617188,31.32,None,
240,240,20,1161,None,31.928331375122070312,31.94,None,
270,270,23,1243,None,32.90604400634765625,32.92,None,
300,300,30,1817,None,25.176174163818359375,25.18,None,
330,330,33,1942,None,21.931291580200195312,21.93,None,
360,360,34,2052,None,24.14105224609375,24.15,None,
550,550,48,2841,None,39.668743133544921875,39.77,None,
600,600,61,3633,None,35.22745513916015625,35.25,None,
650,650,64,3775,None,36.193866729736328125,36.25,None,
700,700,67,3835,None,36.359912872314453125,36.39,None,
750,750,69,4017,None,38.720798492431640625,38.73,None,
800,800,76,4489,None,38.9723663330078125,38.98,None,
850,850,76,4503,None,34.99991607666015625,35.01,None,
900,900,78,4625,None,45.732982635498046875,45.74,None,
950,950,89,5308,None,48.216716766357421875,48.22,None,
10000,10000,922,53952,None,137.0621185302734375,137.08,None,
1000,1000,94,5579,None,39.75176239013671875,39.76,None,
2000,2000,188,11217,None,80.0489501953125,80.07,None,
3000,3000,273,16019,None,114.94156646728515625,114.96,None,
4000,4000,371,21701,None,127.08536529541015625,127.11,None,
5000,5000,465,27568,None,145.7424163818359375,145.77,None,
6000,6000,556,32746,None,164.4044036865234375,164.49,None,
7000,7000,653,38368,None,204.21759033203125,3648.94,None,
8000,8000,740,43364,None,207.9156951904296875,208.04,None,
9000,9000,839,49632,None,280.754058837890625,280.98,None,
