n_packs, n_bins, cost, real_running_time
600,600,565,20.08
700,700,554,18.9
100,100,105,11.6
200,200,201,15.64
900,900,863,21.73
10,10,14,3.75
5,5,8,2.61
1000,1000,773,19.7
500,500,532,20.28
800,800,782,18.85
5,5,8,2.59
7,3,300,3.77
10,10,51,4.26
11,11,79,3.36
12,12,54,3.24
13,13,145,4.59
14,14,55,4.56
15,15,106,6.25
16,16,130,6.19
17,17,105,6.93
18,18,121,6.76
19,19,129,7.01
20,20,188,7.21
21,21,120,7.54
22,22,171,8.19
23,23,147,8.31
24,24,181,9.32
25,25,237,9.81
26,26,161,8.55
27,27,180,10.03
28,28,158,10.41
29,29,186,9.27
30,30,182,10.58
31,31,215,10.88
32,32,187,10.44
33,33,178,11.52
34,34,182,12.28
35,35,237,13.86
36,36,345,13.91
37,37,163,13.39
38,38,260,13.62
39,39,229,13.62
40,40,236,11.8
41,41,251,17.94
42,42,412,12.09
43,43,243,14.91
44,44,356,17.15
45,45,239,14.6
46,46,301,17.83
47,47,284,17.17
48,48,287,18.17
49,49,275,19.11
50,50,314,21.51
51,51,291,18.83
52,52,358,16.65
53,53,404,16.6
54,54,278,22.33
90,90,591,17.21
120,120,701,18.36
150,150,770,20.09
180,180,965,21.26
210,210,1098,21.03
240,240,1161,25
270,270,1243,27.57
300,300,1817,22.82
330,330,1942,20.48
360,360,2052,20.62
550,550,2841,25.07
600,600,3633,22.95
650,650,3775,22.27
700,700,3835,25.28
750,750,4017,24.3
800,800,4489,24.47
850,850,4503,21.23
900,900,4625,27.81
950,950,5308,29.69
10000,10000,53952,86.71
1000,1000,5579,25.63
2000,2000,11217,28.25
3000,3000,16019,41.88
4000,4000,21701,43.47
5000,5000,27568,51.2
6000,6000,32746,55.84
7000,7000,38368,65.25
8000,8000,43364,70.11
9000,9000,49632,79.92
