n_packs, n_bins, cost, real_running_time
600,600,565,17.19
700,700,554,18.49
100,100,105,13.47
200,200,201,16.51
900,900,863,18.62
10,10,14,4.42
5,5,8,2.99
1000,1000,773,19.81
500,500,532,14.77
800,800,782,15.96
5,5,8,2.93
7,3,300,4.32
10,10,51,4.99
11,11,79,3.98
12,12,54,3.4
13,13,145,4.99
14,14,55,4.9
15,15,106,6.98
16,16,130,8.31
17,17,105,8.11
18,18,121,7.75
19,19,129,7.66
20,20,188,8.23
21,21,120,8.32
22,22,171,9.28
23,23,147,11.07
24,24,181,12.01
25,25,237,13.31
26,26,161,13.92
27,27,180,13.49
28,28,158,12.32
29,29,186,14.67
30,30,182,13.76
31,31,215,12.62
32,32,187,11.68
33,33,178,15.03
34,34,182,14.21
35,35,237,16.49
36,36,345,16.22
37,37,163,15.77
38,38,260,16.22
39,39,229,16.51
40,40,236,13.21
41,41,251,25.67
42,42,412,15.54
43,43,243,16.96
44,44,356,21.33
45,45,239,18.86
46,46,301,20.75
47,47,284,21.32
48,48,287,21.52
49,49,275,22.88
50,50,314,23.67
51,51,291,23.07
52,52,358,21.69
53,53,404,20.89
54,54,278,25.59
90,90,591,21.48
120,120,701,22.4
150,150,770,24.31
180,180,965,25.75
210,210,1098,25.83
240,240,1161,28.52
270,270,1243,28.81
300,300,1817,26.09
330,330,1942,24.69
360,360,2052,24.73
550,550,2841,31.6
600,600,3633,27.89
650,650,3775,26.57
700,700,3835,29.8
750,750,4017,31.39
800,800,4489,28.77
850,850,4503,29.16
900,900,4625,34.83
950,950,5308,33.63
10000,10000,53952,125.31
1000,1000,5579,39.6
2000,2000,11217,41.88
3000,3000,16019,51.03
4000,4000,21701,59.11
5000,5000,27568,69.47
6000,6000,32746,76.53
7000,7000,38368,87.67
8000,8000,43364,91.95
9000,9000,49632,105.33
