n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
5,5,1,8,None,0.00043300000834278762341,0.00,None,
7,3,2,300,None,0.00074599997606128454208,0.00,None,
10,10,1,51,None,0.0004649999900721013546,0.00,None,
11,11,1,79,None,0.00046099998871795833111,0.00,None,
12,12,1,54,None,0.00047699999413453042507,0.00,None,
13,13,2,145,None,0.00075000000651925802231,0.00,None,
14,14,1,55,None,0.00057500001275911927223,0.00,None,
15,15,2,106,None,0.0010140000376850366592,0.00,None,
16,16,2,130,None,0.0010460000485181808472,0.00,None,
17,17,2,105,None,0.00089899997692555189133,0.00,None,
18,18,2,121,None,0.00094499997794628143311,0.00,None,
19,19,2,129,None,0.0010400000028312206268,0.00,None,
20,20,3,188,None,0.0014860000228509306908,0.00,None,
21,21,2,120,None,0.0010809999657794833183,0.00,None,
22,22,3,171,None,0.0015970000531524419785,0.00,None,
23,23,2,147,None,0.0012039999710395932198,0.00,None,
24,24,3,181,None,0.0015660000499337911606,0.01,None,
25,25,4,237,None,0.0032339999452233314514,0.01,None,
26,26,3,161,None,0.0017130000051110982895,0.00,None,
27,27,3,180,None,0.0023199999704957008362,0.01,None,
28,28,3,158,None,0.0015320000238716602325,0.00,None,
29,29,3,186,None,0.0020800000056624412537,0.00,None,
30,30,3,182,None,0.0022619999945163726807,0.00,None,
31,31,4,215,None,0.0033470001071691513062,0.01,None,
32,32,3,187,None,0.0032329999376088380814,0.01,None,
33,33,3,178,None,0.0023539999965578317642,0.00,None,
34,34,3,182,None,0.0027240000199526548386,0.01,None,
35,35,4,237,None,0.0038459999486804008484,0.01,None,
36,36,5,345,None,0.0022929999977350234985,0.00,None,
37,37,3,163,None,0.002020000014454126358,0.00,None,
38,38,4,260,None,0.004054999910295009613,0.01,None,
39,39,4,229,None,0.0051369997672736644745,0.02,None,
40,40,4,236,None,0.0057549998164176940918,0.01,None,
41,41,4,251,None,0.0052029998041689395905,0.01,None,
42,42,7,412,None,0.0055689997971057891846,0.01,None,
43,43,4,243,None,0.0031860000453889369965,0.01,None,
44,44,5,356,None,0.0031369999051094055176,0.01,None,
45,45,4,239,None,0.0050630001351237297058,0.01,None,
46,46,5,301,None,0.0071109998971223831177,0.01,None,
47,47,5,284,None,0.0095180002972483634949,0.02,None,
48,48,5,287,None,0.003891000058501958847,0.01,None,
49,49,5,275,None,0.0055240001529455184937,0.01,None,
50,50,5,314,None,0.0060330000706017017365,0.01,None,
51,51,5,291,None,0.0019349999492987990379,0.00,None,
52,52,6,358,None,0.0090049998834729194641,0.01,None,
53,53,6,404,None,0.0094569995999336242676,0.01,None,
54,54,5,278,None,0.0045440001413226127625,0.01,None,
90,90,10,591,None,0.12301400303840637207,0.13,None,
120,120,13,701,None,3.0495750904083251953,3.07,None,
150,150,14,770,None,40.4835052490234375,40.64,None,
180,180,17,965,None,59.317600250244140625,59.39,None,
210,210,19,1098,None,63.275882720947265625,63.35,None,
240,240,20,1161,None,99.99811553955078125,100.15,None,
270,270,23,1243,None,51.13355255126953125,51.33,None,
300,300,30,1817,None,124.5421142578125,124.69,None,
330,330,33,1942,None,0.039060998708009719849,0.04,None,
360,360,34,2052,None,0.094619996845722198486,0.10,None,
550,550,48,2841,None,219.99700927734375,220.16,None,
600,600,61,3633,None,214.2918243408203125,214.34,None,
650,650,64,3775,None,268.3427734375,268.36,None,
700,700,67,3835,None,452.333526611328125,452.36,None,
750,750,69,4017,None,15.916628837585449219,15.93,None,
