n_packs, n_bins, cost, real_running_time
600,600,565,1.2
700,700,554,1.24
100,100,105,0.07
200,200,201,0.12
900,900,863,3.33
10,10,14,0
5,5,8,0
1000,1000,773,2.78
500,500,532,3.75
800,800,782,3.87
5,5,8,0
7,3,300,0
10,10,51,0.01
11,11,79,0
12,12,54,0
13,13,145,0
14,14,55,0
15,15,106,0.01
16,16,130,0.01
17,17,105,0.01
18,18,121,0
19,19,129,0.01
20,20,188,0.01
21,21,120,0.01
22,22,171,0.01
23,23,147,0.01
24,24,181,0.01
25,25,237,0.01
26,26,161,0.01
27,27,180,0.01
28,28,158,0.01
29,29,186,0
30,30,182,0.01
31,31,215,0.01
32,32,187,0.01
33,33,178,0.01
34,34,182,0.01
35,35,237,0.01
36,36,345,0.01
37,37,163,0.01
38,38,260,0.01
39,39,229,0.01
40,40,236,0.01
41,41,251,0.01
42,42,412,0.01
43,43,243,0.01
44,44,356,0.01
45,45,239,0.01
46,46,301,0.01
47,47,284,0.01
48,48,287,0
49,49,275,0.02
50,50,314,0.01
51,51,291,0.01
52,52,358,0.01
53,53,404,0.01
54,54,278,0.01
90,90,591,0.13
120,120,701,2.68
150,150,770,34.78
180,180,965,50.61
210,210,1098,66.04
240,240,1161,95.2
270,270,1243,35.02
300,300,1817,104.22
330,330,1942,0.07
360,360,2052,0.09
550,550,2841,206.33
600,600,3633,185.2
650,650,3775,200.11
700,700,3835,219.14
750,750,4017,7.97
800,800,4489,242.97
850,850,4503,2.13
900,900,4625,379.14
950,950,5308,455.88
10000,10000,,3658
1000,1000,,0.06
2000,2000,,0.09
3000,3000,,0.12
4000,4000,,3.77
5000,5000,,0.15
6000,6000,,0.17
7000,7000,,0.14
8000,8000,,0.15
9000,9000,,0.14
