n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
600,600,94,565,None,0.2005109935998916626,0.20,None,
700,700,108,554,None,0.27111598849296569824,0.28,None,
100,100,19,105,None,0.0085720000788569450378,0.01,None,
200,200,31,201,None,0.024777999147772789001,0.03,None,
900,900,142,863,None,260.152740478515625,260.24,None,
10,10,2,14,None,0.00085700000636279582977,0.00,None,
5,5,1,8,None,0.0007099999929778277874,0.01,None,
1000,1000,149,773,None,0.36379599571228027344,0.37,None,
500,500,85,532,None,0.18660199642181396484,0.19,None,
800,800,138,782,None,0.29927799105644226074,0.30,None,
5,5,1,8,None,0.0005280000041238963604,0.00,None,
7,3,2,300,None,0.00072499999077990651131,0.01,None,
10,10,1,51,None,0.00065200001699849963188,0.01,None,
11,11,1,79,None,0.00080699997488409280777,0.01,None,
12,12,1,54,None,0.00073099997825920581818,0.01,None,
13,13,2,145,None,0.00084400002378970384598,0.00,None,
14,14,1,55,None,0.00073400000110268592834,0.01,None,
15,15,2,106,None,0.001275000046007335186,0.00,None,
16,16,2,130,None,0.0010969999711960554123,0.00,None,
17,17,2,105,None,0.0014449999434873461723,0.01,None,
18,18,2,121,None,0.0011030000168830156326,0.00,None,
19,19,2,129,None,0.0013289999915286898613,0.00,None,
20,20,3,188,None,0.0012519999872893095016,0.00,None,
21,21,2,120,None,0.0014220000011846423149,0.00,None,
22,22,3,171,None,0.0019590000156313180923,0.01,None,
23,23,2,147,None,0.0015579999890178442001,0.01,None,
24,24,3,181,None,0.0017579999985173344612,0.01,None,
25,25,4,237,None,0.0021699999924749135971,0.01,None,
26,26,3,161,None,0.0022940000053495168686,0.01,None,
27,27,3,180,None,0.0019570000004023313522,0.01,None,
28,28,3,158,None,0.002765000099316239357,0.01,None,
29,29,3,186,None,0.0030720001086592674255,0.01,None,
30,30,3,182,None,0.0039079999551177024841,0.02,None,
31,31,4,215,None,0.0034000000450760126114,0.01,None,
32,32,3,187,None,0.0032889998983591794968,0.01,None,
33,33,3,178,None,0.0045770001597702503204,0.01,None,
34,34,3,182,None,0.0037950000260025262833,0.01,None,
35,35,4,237,None,0.005049000028520822525,0.01,None,
36,36,5,345,None,0.0085340002551674842834,0.02,None,
37,37,3,163,None,0.0026670000515878200531,0.01,None,
38,38,4,260,None,0.0038499999791383743286,0.01,None,
39,39,4,229,None,0.0037690000608563423157,0.01,None,
40,40,4,236,None,0.0080350004136562347412,0.02,None,
41,41,4,251,None,0.0090810004621744155884,0.02,None,
42,42,7,412,None,0.021513000130653381348,0.03,None,
43,43,4,243,None,0.0030189999379217624664,0.01,None,
44,44,5,356,None,0.010116999968886375427,0.02,None,
45,45,4,239,None,0.014801000244915485382,0.02,None,
46,46,5,301,None,0.0067239999771118164062,0.01,None,
47,47,5,284,None,0.0018469999777153134346,0.00,None,
48,48,5,287,None,0.0061849998310208320618,0.01,None,
49,49,5,275,None,0.0032790000550448894501,0.01,None,
50,50,5,314,None,0.0067219999618828296661,0.01,None,
51,51,5,291,None,0.0020099999383091926575,0.00,None,
52,52,6,358,None,0.0056219999678432941437,0.01,None,
53,53,6,404,None,0.007383000105619430542,0.01,None,
54,54,5,278,None,0.0068669999018311500549,0.01,None,
90,90,10,591,None,0.017643000930547714233,0.02,None,
120,120,13,701,None,0.029867999255657196045,0.03,None,
150,150,14,770,None,0.038697000592947006226,0.04,None,
180,180,17,965,None,0.045745000243186950684,0.05,None,
210,210,19,1098,None,0.31373500823974609375,0.32,None,
240,240,20,1161,None,0.080537997186183929443,0.08,None,
270,270,23,1243,None,0.10854600369930267334,0.11,None,
300,300,30,1817,None,0.086553998291492462158,0.09,None,
330,330,33,1942,None,0.034577999264001846313,0.04,None,
360,360,34,2052,None,0.026484999805688858032,0.03,None,
550,550,48,2841,None,0.53795397281646728516,0.54,None,
600,600,61,3633,None,2.1564350128173828125,2.16,None,
650,650,64,3775,None,104.7777099609375,104.81,None,
700,700,67,3835,None,3.1675748825073242188,3.17,None,
750,750,69,4017,None,0.37022200226783752441,0.37,None,
800,800,76,4489,None,423.503692626953125,423.79,None,
850,850,76,4503,None,0.32203501462936401367,0.36,None,
900,900,78,4625,None,0.1448449939489364624,0.20,None,
950,950,89,5308,None,0.32607999444007873535,0.40,None,
